name,Category,energy_kcal,weight_g,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,energy_percentage_dv,protein_percentage_dv,carbohydrate_percentage_dv,fat_percentage_dv,sodium_percentage_dv,energy_per_100g,protein_per_100g,fat_per_100g,sodium_per_100g,nutrition_desnity
Matoa Segar,Traditional,90,1.1,1.2,21.1,0.1,0,10,0.5,4.19,2,6.49,0.15,0.67,8181.82,109.09,9.09,909.09,0.0189
Buah Negri Segar,Traditional,55,0.8,1.2,12.2,0.1,0,10,5.2,2.56,2,3.75,0.15,0.67,6875,150,12.5,1250,0.1164
Suweg Talas Segar,Traditional,74,1.2,1.4,17.2,0.1,0,7,1.4,3.44,2.33,5.29,0.15,0.47,6166.67,116.67,8.33,583.33,0.0378
Suweg Kukus,Traditional,93,1,1.5,21.9,0.1,0,6,0.9,4.33,2.5,6.74,0.15,0.4,9300,150,10,600,0.0258
Daun Ubi Tinta Segar,Traditional,55,1.2,1.7,11.9,0.1,0,10,7.6,2.56,2.83,3.66,0.15,0.67,4583.33,141.67,8.33,833.33,0.1691
Jamur Tiram Segar,Traditional,30,0.6,1.9,5.5,0.1,0,22,3.6,1.4,3.17,1.69,0.15,1.47,5000,316.67,16.67,3666.67,0.1833
Tekokak Segar,Traditional,34,1,2,7.9,0.1,0,3,4.9,1.58,3.33,2.43,0.15,0.2,3400,200,10,300,0.2029
Terung Panjang Segar,Traditional,25,0.7,2.1,5.3,0.1,0,9,0.5,1.16,3.5,1.63,0.15,0.6,3571.43,300,14.29,1285.71,0.104
Jagung Muda / Semi Segar,Traditional,35,0.8,2.2,7.4,0.1,0,353,1.9,1.63,3.67,2.28,0.15,23.53,4375,275,12.5,44125,0.1171
Kacang Panjang Segar,Traditional,31,0.5,2.3,5.3,0.1,0,30,2.7,1.44,3.83,1.63,0.15,2,6200,460,20,6000,0.1613
Vigus,Traditional,44,1.2,2.4,8.3,0.1,0,2,0,2.05,4,2.55,0.15,0.13,3666.67,200,8.33,166.67,0.0545
Komak Polong,Traditional,99,1.1,3.3,21.2,0.1,0,15,10.3,4.6,5.5,6.52,0.15,1,9000,300,9.09,1363.64,0.1374
Komak Segar,Traditional,99,1.1,3.3,21.2,0.1,0,15,10.3,4.6,5.5,6.52,0.15,1,9000,300,9.09,1363.64,0.1374
Daun Paku Segar,Traditional,29,1.2,3.4,6.5,0.1,0,19,4.3,1.35,5.67,2,0.15,1.27,2416.67,283.33,8.33,1583.33,0.2655
Bihun Mentah,Traditional,348,0.2,4.7,82.1,0.1,0,12,1.2,16.19,7.83,25.26,0.15,0.8,174000,2350,50,6000,0.017
Beras Jagung Putih Kering Mentah,Traditional,307,0.8,4.8,71.8,0.1,0,1,10,14.28,8,22.09,0.15,0.07,38375,600,12.5,125,0.0482
Beras Jagung Kuning Kering Mentah,Traditional,358,0.9,5.5,82.7,0.1,0,1,10,16.65,9.17,25.45,0.15,0.07,39777.78,611.11,11.11,111.11,0.0433
Jamur Encik,Traditional,296,2.7,9.4,62,0.1,0,2,0,13.77,15.67,19.08,0.15,0.13,10962.96,348.15,3.7,74.07,0.0318
Buah Pir / Pear,Traditional,57,83.96,0.36,15.23,0.14,0,1,3.1,2.65,0.6,4.69,0.21,0.07,67.89,0.43,0.17,1.19,0.0607
Kentang Rebus,Traditional,76,2.5,1.37,17.72,0.14,5.74,27,2.5,3.53,2.28,5.45,0.21,1.8,3040,54.8,5.6,1080,0.0509
Beetroot (Mentah),Traditional,43,1.61,1.61,9.56,0.17,0,0,0,2,2.68,2.94,0.25,0,2670.81,100,10.56,0,0.0374
Sagu Rendang,Traditional,364,1,0.1,90.5,0.2,0,42,1.9,16.93,0.17,27.85,0.3,2.8,36400,10,20,4200,0.0055
Ketimun Mentimun Timun Segar,Traditional,8,0.3,0.2,1.4,0.2,0,2,0.3,0.37,0.33,0.43,0.3,0.13,2666.67,66.67,66.67,666.67,0.0625
Pala Daging Segar,Traditional,42,0.5,0.3,10.9,0.2,0,0,0.5,1.95,0.5,3.35,0.3,0,8400,60,40,0,0.019
Mangga Harumanis Segar,Traditional,46,0.8,0.4,11.9,0.2,0,2,1.7,2.14,0.67,3.66,0.3,0.13,5750,50,25,250,0.0457
Mangga Kopek Segar,Traditional,56,0.3,0.4,14.6,0.2,0,2,2,2.6,0.67,4.49,0.3,0.13,18666.67,133.33,66.67,666.67,0.0429
Salak Medan,Traditional,55,8.5,0.4,12.8,0.2,0,39,3.2,2.56,0.67,3.94,0.3,2.6,647.06,4.71,2.35,458.82,0.0655
Lontar Segar,Traditional,27,0.4,0.4,6,0.2,0,0,1.6,1.26,0.67,1.85,0.3,0,6750,100,50,0,0.0741
Kundur Segar,Traditional,22,0.7,0.4,4.7,0.2,0,2,1.3,1.02,0.67,1.45,0.3,0.13,3142.86,57.14,28.57,285.71,0.0773
Balingo Segar,Traditional,15,0.3,0.4,3,0.2,0,2,0.4,0.7,0.67,0.92,0.3,0.13,5000,133.33,66.67,666.67,0.0533
Rambutan Binjai,Traditional,76,0.3,0.5,18,0.2,0,22,3.8,3.53,0.83,5.54,0.3,1.47,25333.33,166.67,66.67,7333.33,0.0566
Anggur Hutan Segar,Traditional,30,0.2,0.5,6.8,0.2,0,0,1.2,1.4,0.83,2.09,0.3,0,15000,250,100,0,0.0567
Jeruk Nipis Segar,Traditional,44,0.4,0.5,10,0.2,0,3,0.4,2.05,0.83,3.08,0.3,0.2,11000,125,50,750,0.0205
Mangga Golek Segar,Traditional,63,0.4,0.5,16.7,0.2,0,3,2.3,2.93,0.83,5.14,0.3,0.2,15750,125,50,750,0.0444
Ketimun Krai Segar,Traditional,10,0.5,0.5,2,0.2,0,10,0.6,0.47,0.83,0.62,0.3,0.67,2000,100,40,2000,0.11
Ganyong Segar,Traditional,77,0.9,0.6,18.4,0.2,0,0,0.8,3.58,1,5.66,0.3,0,8555.56,66.67,22.22,0,0.0182
Jambu Air Segar,Traditional,46,0.8,0.6,11.8,0.2,0,11,2.1,2.14,1,3.63,0.3,0.73,5750,75,25,1375,0.0587
Jeruk Bali Segar,Traditional,48,0.5,0.6,12.4,0.2,0,21,0.8,2.23,1,3.82,0.3,1.4,9600,120,40,4200,0.0292
Sagu Aren Segar,Traditional,231,0.1,0.6,56.6,0.2,0,7,3.2,10.74,1,17.42,0.3,0.47,231000,600,200,7000,0.0165
Pisang Tujuh Bulan,Traditional,94,0.8,0.6,22.5,0.2,0,0,3.7,4.37,1,6.92,0.3,0,11750,75,25,0,0.0457
Labu Air Segar,Traditional,19,0.4,0.6,3.8,0.2,0,2,0.6,0.88,1,1.17,0.3,0.13,4750,150,50,500,0.0632
Sagu Kasbi Segar,Traditional,230,0.2,0.6,56.5,0.2,0,100,3,10.7,1,17.38,0.3,6.67,115000,300,100,50000,0.0157
Buah Mentega (Bisbul) Segar,Traditional,39,0.4,0.7,9.7,0.2,0,1,2,1.81,1.17,2.98,0.3,0.07,9750,175,50,250,0.0692
Tepung Arrowroot,Olahan/Brand,355,0.3,0.7,85.2,0.2,0,2,0.4,16.51,1.17,26.22,0.3,0.13,118333.33,233.33,66.67,666.67,0.0031
Sante Talas Segar,Traditional,353,0.4,0.7,84.7,0.2,0,30,6.6,16.42,1.17,26.06,0.3,2,88250,175,50,7500,0.0207
Jeruk Ragi Segar,Traditional,49,0.4,0.7,11.1,0.2,0,4,0.5,2.28,1.17,3.42,0.3,0.27,12250,175,50,1000,0.0245
Nanas Palembang Segar,Traditional,58,0.3,0.7,13.3,0.2,0,7,1.6,2.7,1.17,4.09,0.3,0.47,19333.33,233.33,66.67,2333.33,0.0397
Paria Putih Kukus,Traditional,16,0.6,0.8,3.4,0.2,0,4,1.2,0.74,1.33,1.05,0.3,0.27,2666.67,133.33,33.33,666.67,0.125
Jeruk Banjar Segar,Traditional,61,0.4,0.8,14.1,0.2,0,3,5.4,2.84,1.33,4.34,0.3,0.2,15250,200,50,750,0.1016
Gambas (Oyong) Segar,Traditional,19,0.4,0.8,4.1,0.2,0,23,1.3,0.88,1.33,1.26,0.3,1.53,4750,200,50,5750,0.1105
Ganyong Rebus,Traditional,100,1.1,0.8,23.8,0.2,0,0,0.9,4.65,1.33,7.32,0.3,0,9090.91,72.73,18.18,0,0.017
Buah Atung Segar,Traditional,23,1.8,0.8,5.2,0.2,0,0,0,1.07,1.33,1.6,0.3,0,1277.78,44.44,11.11,0,0.0348
Mangga Indramayu Segar,Traditional,72,0.1,0.8,18.7,0.2,0,3,2.5,3.35,1.33,5.75,0.3,0.2,72000,800,200,3000,0.0458
Jeruk Manis Segar,Traditional,45,0.5,0.9,11.2,0.2,0,4,1.4,2.09,1.5,3.45,0.3,0.27,9000,180,40,800,0.0511
Ubi Jalar Tinta / Kemayung Kukus,Traditional,165,0.6,0.9,39.8,0.2,0,1,1.1,7.67,1.5,12.25,0.3,0.07,27500,150,33.33,166.67,0.0121
Langsat Segar,Traditional,56,0.5,0.9,14.3,0.2,0,1,1.4,2.6,1.5,4.4,0.3,0.07,11200,180,40,200,0.0411
Eceng Segar,Traditional,19,2,1,3.8,0.2,0,45,1.8,0.88,1.67,1.17,0.3,3,950,50,10,2250,0.1474
Arrowroot Segar,Traditional,102,1.2,1,24.1,0.2,0,36,1.7,4.74,1.67,7.42,0.3,2.4,8500,83.33,16.67,3000,0.0265
Kaburan Ubi Segar,Traditional,133,0.5,1,32.2,0.2,0,10,0.7,6.19,1.67,9.91,0.3,0.67,26600,200,40,2000,0.0128
Tomat Air (Sari) Segar,Traditional,20,1.3,1,3.5,0.2,0,10,0.4,0.93,1.67,1.08,0.3,0.67,1538.46,76.92,15.38,769.23,0.07
Gembili Ubi Segar,Traditional,131,1,1.1,31.3,0.2,0,10,1.1,6.09,1.83,9.63,0.3,0.67,13100,110,20,1000,0.0168
Pisang Ayam Segar,Traditional,120,0.7,1.1,26.8,0.2,0,6,4.1,5.58,1.83,8.25,0.3,0.4,17142.86,157.14,28.57,857.14,0.0433
Beras Siger,Traditional,344,0.7,1.1,28.3,0.2,0,106,5.6,16,1.83,8.71,0.3,7.07,49142.86,157.14,28.57,15142.86,0.0195
Pisang Raja Segar,Traditional,120,1,1.2,31.8,0.2,0,35,5.3,5.58,2,9.78,0.3,2.33,12000,120,20,3500,0.0542
Selada Segar,Traditional,18,0.9,1.2,2.9,0.2,0,19,1.8,0.84,2,0.89,0.3,1.27,2000,133.33,22.22,2111.11,0.1667
Pisang Angleng (Pisang Ampyang) Segar,Traditional,68,1,1.3,17.2,0.2,0,23,0.8,3.16,2.17,5.29,0.3,1.53,6800,130,20,2300,0.0309
Bawang Bombay Segar,Traditional,43,0.6,1.4,10.3,0.2,0,12,2,2,2.33,3.17,0.3,0.8,7166.67,233.33,33.33,2000,0.0791
Kool Merah Kool Putih,Traditional,29,0.9,1.4,5.3,0.2,0,28,1.9,1.35,2.33,1.63,0.3,1.87,3222.22,155.56,22.22,3111.11,0.1138
Bengkuang Segar,Traditional,59,0.5,1.4,12.8,0.2,0,2,1,2.74,2.33,3.94,0.3,0.13,11800,280,40,400,0.0407
Pisang Mas Bali Kopang Segar,Traditional,127,2.4,1.4,31.8,0.2,0,43,3.7,5.91,2.33,9.78,0.3,2.87,5291.67,58.33,8.33,1791.67,0.0402
Sukun Muda,Traditional,119,1,1.4,28.1,0.2,0,24,1.4,5.53,2.33,8.65,0.3,1.6,11900,140,20,2400,0.0235
Pisang Mas Bali Ampenan Segar,Traditional,92,0.5,1.4,21,0.2,0,32,3.7,4.28,2.33,6.46,0.3,2.13,18400,280,40,6400,0.0554
Buah Kelor,Traditional,38,1.3,1.5,7.5,0.2,0,48,3.2,1.77,2.5,2.31,0.3,3.2,2923.08,115.38,15.38,3692.31,0.1237
Ubi Jalar Manis Segar,Traditional,83,1.1,1.5,18.8,0.2,0,52,0.6,3.86,2.5,5.78,0.3,3.47,7545.45,136.36,18.18,4727.27,0.0253
Pisang Goroho Segar,Traditional,119,1,1.5,27.9,0.2,0,36,4.6,5.53,2.5,8.58,0.3,2.4,11900,150,20,3600,0.0513
Andewi Segar,Traditional,226,1.1,1.6,5.3,0.2,0,29,4.1,10.51,2.67,1.63,0.3,1.93,20545.45,145.45,18.18,2636.36,0.0252
Sukun Tua,Traditional,126,1,1.6,24.5,0.2,0,25,1.5,5.86,2.67,7.54,0.3,1.67,12600,160,20,2500,0.0246
Kokosan Segar,Traditional,86,0.2,1.6,13,0.2,0,2,1.4,4,2.67,4,0.3,0.13,43000,800,100,1000,0.0349
Genjer Segar,Traditional,35,0.4,1.7,7.7,0.2,0,64,2.5,1.63,2.83,2.37,0.3,4.27,8750,425,50,16000,0.12
Kangkung Tondano,Traditional,43,1.1,1.8,8.4,0.2,0,30,4.3,2,3,2.58,0.3,2,3909.09,163.64,18.18,2727.27,0.1419
Ubi Cilembu,Traditional,186,0.9,1.9,44.3,0.2,0,1,3.4,8.65,3.17,13.63,0.3,0.07,20666.67,211.11,22.22,111.11,0.0285
Carica Papaya Segar,Traditional,24,0.9,1.9,3.7,0.2,0,0,1,1.12,3.17,1.14,0.3,0,2666.67,211.11,22.22,0,0.1208
Umbut Kelapa Segar,Traditional,39,1.3,2,7.2,0.2,0,4,2.5,1.81,3.33,2.22,0.3,0.27,3000,153.85,15.38,307.69,0.1154
Kentang Segar,Traditional,62,0.8,2.1,13.5,0.2,0,7,0.5,2.88,3.5,4.15,0.3,0.47,7750,262.5,25,875,0.0419
Karawila,Traditional,25,0.3,2.3,3.5,0.2,0,8,2.1,1.16,3.83,1.08,0.3,0.53,8333.33,766.67,66.67,2666.67,0.176
Jambu Bool Segar,Traditional,49,0.8,2.3,9.6,0.2,0,1,3.5,2.28,3.83,2.95,0.3,0.07,6125,287.5,25,125,0.1184
Bubur Tinotuan (Manado),Traditional,156,1,2.3,15.6,0.2,0,486,8.2,7.26,3.83,4.8,0.3,32.4,15600,230,20,48600,0.0673
Kalakai Segar,Traditional,38,0.9,2.4,6.6,0.2,0,7,5.8,1.77,4,2.03,0.3,0.47,4222.22,266.67,22.22,777.78,0.2158
Koro Loke Biji,Traditional,33,0.6,2.7,7.9,0.2,0,2,3.5,1.53,4.5,2.43,0.3,0.13,5500,450,33.33,333.33,0.1879
Selada Rebus,Traditional,19,0.7,2.7,2.9,0.2,0,24,0.7,0.88,4.5,0.89,0.3,1.6,2714.29,385.71,28.57,3428.57,0.1789
Daun Leilem Segar,Traditional,76,1.8,2.8,15.8,0.2,0,6,3.1,3.53,4.67,4.86,0.3,0.4,4222.22,155.56,11.11,333.33,0.0776
Selada Airsegar,Traditional,17,1.2,3.1,2.2,0.2,0,65,0.7,0.79,5.17,0.68,0.3,4.33,1416.67,258.33,16.67,5416.67,0.2235
Kacang Ranti Polong,Traditional,37,0.3,3.1,7.9,0.2,0,0,2.5,1.72,5.17,2.43,0.3,0,12333.33,1033.33,66.67,0,0.1514
Brokoli  Matang,Traditional,23.2,90.5,3.2,1.9,0.2,0,15,3,1.08,5.33,0.58,0.3,1,25.64,3.54,0.22,16.57,0.2672
Kapri Muda Segar,Traditional,45,0.7,3.3,9,0.2,0,2,1.8,2.09,5.5,2.77,0.3,0.13,6428.57,471.43,28.57,285.71,0.1133
Kue Ku Temu,Traditional,214,0.5,3.5,49.6,0.2,0,0,0,9.95,5.83,15.26,0.3,0,42800,700,40,0,0.0164
Bawang Putih Segar,Traditional,112,1.8,4.5,21.3,0.2,0,46,0.6,5.21,7.5,6.55,0.3,3.07,6222.22,250,11.11,2555.56,0.0455
